pl_name,hostname,sy_dist,pl_orbper,pl_orbsmax,pl_bmasse,pl_rade,pl_rvamp,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbeccen_reflink,st_mass,st_lum,discoverymethod,st_lum_solar
HD 109988 b,HD 109988,42.5279,17132.15854,12.518,6935.33366915,12.1,103.945,0.056,0.036,-0.034,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,0.88,-0.30725,Radial Velocity,0.4928899919881131
Kepler-909 b,Kepler-909,309.596,13.93290318,0.11873,2.76,1.47,,0.0,,,0,<a refstr=Q1_Q17_DR25_KOI_TABLE href=https://exoplanetarchive.ipac.caltech.edu/docs/Kepler_KOI_docs.html target=ref>Q1-Q17 DR25 KOI Table</a>,1.17,0.273,Transit,1.8749945080674189
HD 11112 b,HD 11112,44.3804,17244.90764,13.38,2598.56505563,12.6,36.792,0.285,0.114,-0.202,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.07,0.37657,Radial Velocity,2.3799618745745854
HATS-27 b,HATS-27,816.988,4.637038,0.0611,168.4499,16.8135,51.0,0.581,,,1,<a refstr=ESPINOZA_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152..108E/abstract target=ref>Espinoza et al. 2016</a>,1.415,0.66932,Transit,4.670033543618862
HD 11505 b,HD 11505,38.9679,32669.22247,20.247,2510.52658689,12.6,49.449,0.144,0.011,-0.056,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.03,0.15075,Radial Velocity,1.4149790180737807
HD 122562 c,HD 122562,53.2528,84.96276,0.406,73.10053361,10.1,9.463,0.228,0.139,-0.113,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.241,0.407,Radial Velocity,2.5527013026612466
HD 135872 b,HD 135872,82.4251,2422.32597,4.172,1744.56012602,12.8,60.122,0.164,0.075,-0.064,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.646,0.937,Radial Velocity,8.649679187756934
HD 113337 c,HD 113337,36.18,5429.93477,6.805,6299.67685515,12.1,154.581,0.164,0.057,-0.056,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.41,0.63246,Radial Velocity,4.290026748126517
HD 151450 c,HD 151450,43.6002,18144.76236,14.131,1636.18063924,12.8,24.767,0.138,0.108,-0.08,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.14,0.23147,Radial Velocity,1.7040016069889838
HD 188641 b,HD 188641,64.3399,14583.81038,12.027,9333.03117155,11.9,174.613,0.034,0.059,-0.088,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.07,0.61512,Radial Velocity,4.122114015825725
HD 13724 c,HD 13724,43.465,142.22895,0.534,50.85254512,8.18,8.179,0.651,0.078,-0.092,0,<a refstr=FENG_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022ApJS..262...21F/abstract target=ref>Feng et al. 2022</a>,1.004,0.05467,Radial Velocity,1.1341487017888376
