pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_bmasse,st_mass,pl_orbeccen,expected_eccentricity,eccentricity_for_analysis
Kepler-342 c,Kepler-342,Transit,26.2348478,0.1837,,1.2,0.0,0.09145032249322158,0.09145032249322158
Kepler-32 d,Kepler-32,Transit,22.78,,,0.514,,0.07954757848150786,0.07954757848150786
Kepler-26 b,Kepler-26,Transit,12.28235626,0.08551,,0.55,,0.07889042151054614,0.07889042151054614
Kepler-262 c,Kepler-262,Transit,21.85347,0.152,,0.986,0.0,0.0882416373584158,0.0882416373584158
Kepler-804 b,Kepler-804,Transit,14.37457351,0.1138,,0.95,0.0,0.0831095351260124,0.0831095351260124
Kepler-380 b,Kepler-380,Transit,3.930821,0.05,,,,0.06956959774245108,0.06956959774245108
Kepler-24 b,Kepler-24,Transit,8.14511872,,,0.98,,0.06954935471604765,0.06954935471604765
Kepler-472 b,Kepler-472,Transit,4.176254191,,,0.784,,0.060670542224724074,0.060670542224724074
Kepler-1050 c,Kepler-1050,Transit,21.1285655,0.1622,,1.276,0.0,0.08907726261476963,0.08907726261476963
PSR B1257+12 c,PSR B1257+12,Pulsar Timing,66.563,0.36,3.4,,0.022,0.032470801872277716,0.022
Kepler-1320 b,Kepler-1320,Transit,0.868386528,0.0164,,0.776,0.0,0.0553973525605933,0.0553973525605933
Kepler-101 b,Kepler-101,Transit,3.487689428,,,0.98,,0.059734613960740625,0.059734613960740625
OGLE-2017-BLG-1375L b,OGLE-2017-BLG-1375L,Microlensing,,3.04,3585.0,0.81,,0.18906215927417447,0.18906215927417447
Kepler-132 d,Kepler-132,Transit,18.01017554,,,1.03,,0.08035895946894574,0.08035895946894574
Kepler-27 b,Kepler-27,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-10 c,Kepler-10,Transit,45.294314,,,1.017,,0.09434619625299341,0.09434619625299341
TOI-4794 b,TOI-4794,Transit,3.5658116,0.0492,308.29355479,1.25,0.1,0.06882157024671771,0.1
Kepler-323 b,Kepler-323,Transit,1.67832545,0.0288,,1.123,0.0,0.06211276616555893,0.06211276616555893
Kepler-1256 b,Kepler-1256,Transit,12.4127754,0.1097,,1.141,0.0,0.08226764500608816,0.08226764500608816
Kepler-1135 b,Kepler-1135,Transit,76.9592118535,,,0.98,,0.1031186746256085,0.1031186746256085
Kepler-1694 b,Kepler-1694,Transit,3.89523349,0.0426,,0.675,0.0,0.06796544151503012,0.06796544151503012
Kepler-53 b,Kepler-53,Transit,18.64929678,,,0.98,,0.08055659698014911,0.08055659698014911
Kepler-327 b,Kepler-327,Transit,,,,0.58,,0.0945574563582181,0.0945574563582181
Kepler-259 b,Kepler-259,Transit,8.11529219,,,0.93,,0.06923112325985097,0.06923112325985097
Kepler-535 b,Kepler-535,Transit,4.903321551,0.0601,,1.202,0.0,0.07250475382947767,0.07250475382947767
Kepler-136 b,Kepler-136,Transit,11.5789114,,,1.21,,0.07521701028071401,0.07521701028071401
Kepler-198 b,Kepler-198,Transit,17.790037,0.131,,,,0.08603586769648056,0.08603586769648056
Kepler-403 c,Kepler-403,Transit,54.28140531,,,1.15,,0.09822816685381999,0.09822816685381999
Kepler-1532 b,Kepler-1532,Transit,1.093663559,0.0205,,0.963,0.0,0.05795958548187253,0.05795958548187253
Kepler-1191 b,Kepler-1191,Transit,5.60014851,0.0597,,0.907,0.0,0.0727181662280914,0.0727181662280914
Kepler-1192 b,Kepler-1192,Transit,25.2034787,,,0.86,,0.08412290893403283,0.08412290893403283
Kepler-1542 b,Kepler-1542,Transit,3.95116882,0.0466,,0.866,0.0,0.06907094022221412,0.06907094022221412
Kepler-1647 b,Kepler-1647,Transit,1107.5923,2.7205,483.0,1.2207,0.0581,0.154454333790665,0.0581
Kepler-32 b,Kepler-32,Transit,5.901269,0.052,,0.549,0.0,0.0712501256719013,0.0712501256719013
Kepler-780 b,Kepler-780,Transit,0.677375164,0.0149,,0.955,0.0,0.05410412385126787,0.05410412385126787
OGLE-2017-BLG-0448L b,OGLE-2017-BLG-0448L,Microlensing,,1.15,299.0,0.67,,0.1537798891937097,0.1537798891937097
Kepler-871 b,Kepler-871,Transit,22.0459163,0.1572,,1.065,0.0,0.08871199506731223,0.08871199506731223
K2-123 b,K2-123,Transit,30.951524,0.1649,,0.62,,0.09021641571265207,0.09021641571265207
Kepler-276 d,Kepler-276,Transit,48.6541,0.265,,1.05,0.0,0.09877425908998726,0.09877425908998726
Kepler-322 b,Kepler-322,Transit,1.653893465,0.0247,,0.738,0.0,0.06054444206659591,0.06054444206659591
Kepler-320 b,Kepler-320,Transit,8.371554,0.085,,,,0.07720263522822601,0.07720263522822601
Kepler-282 c,Kepler-282,Transit,13.63894,0.115,,1.082,0.0,0.08309275698053334,0.08309275698053334
Kepler-111 b,Kepler-111,Transit,3.3417993,,,1.09,,0.05975650093350253,0.05975650093350253
Kepler-579 b,Kepler-579,Transit,9.668464,0.082,,0.779,0.0,0.07779135179946493,0.07779135179946493
Kepler-1823 b,Kepler-1823,Transit,21.1033014,,,1.19,,0.08352078664506214,0.08352078664506214
Kepler-1438 b,Kepler-1438,Transit,2.319415552,,,0.94,,0.055314232075076096,0.055314232075076096
Kepler-159 c,Kepler-159,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-446 c,Kepler-446,Transit,3.0362155,,,0.187619,,0.05135883216515627,0.05135883216515627
Kepler-1231 b,Kepler-1231,Transit,10.41728722,0.0914,,0.936,0.0,0.07941702298078016,0.07941702298078016
Kepler-1440 b,Kepler-1440,Transit,39.859484,0.23431,,1.079,,0.09626907726398887,0.09626907726398887
Kepler-389 c,Kepler-389,Transit,14.5115026521,,,0.86,,0.07631907420228404,0.07631907420228404
Kepler-292 d,Kepler-292,Transit,7.0556671,0.0701,,0.921,0.0,0.07516006530475872,0.07516006530475872
HD 158038 b,HD 158038,Radial Velocity,521.0,1.5,486.2799,1.3,0.29,0.19782087060977596,0.29
Kepler-29 b,Kepler-29,Transit,10.3392924,0.092,,0.97,0.0,0.0794927711286956,0.0794927711286956
Kepler-537 b,Kepler-537,Transit,3.2475469865,,,1.01,,0.05910613566896584,0.05910613566896584
Kepler-351 b,Kepler-351,Transit,37.0548569,0.2112,,0.914,0.0,0.09445768334089324,0.09445768334089324
Kepler-1147 b,Kepler-1147,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-641 b,Kepler-641,Transit,9.48965527,,,0.96,,0.07135870217287915,0.07135870217287915
Kepler-908 b,Kepler-908,Transit,1.3406074775,,,0.919,,0.049985341620784406,0.049985341620784406
Kepler-166 b,Kepler-166,Transit,7.650241916,0.0711,,0.819,0.0,0.07552039977707503,0.07552039977707503
Kepler-1162 c,Kepler-1162,Transit,59.2841571,0.2892,,0.917,0.0,0.10071297790320256,0.10071297790320256
Kepler-688 b,Kepler-688,Transit,3.895936844,0.0459,,0.845,0.0,0.06883023503070752,0.06883023503070752
Kepler-1801 b,Kepler-1801,Transit,10.44090078,,,0.95,,0.07252512286879698,0.07252512286879698
Kepler-37 d,Kepler-37,Transit,39.79222264,,,0.94,,0.09171533455839131,0.09171533455839131
Kepler-647 c,Kepler-647,Transit,29.66653,0.195,,1.116,0.0,0.09262417019783427,0.09262417019783427
Kepler-253 b,Kepler-253,Transit,3.78402867,0.0452,,0.869,0.0,0.06867757522806285,0.06867757522806285
Kepler-315 c,Kepler-315,Transit,265.47847,0.7733,,0.875,0.0,0.12280829139187865,0.12280829139187865
Kepler-1371 b,Kepler-1371,Transit,3.4461664364,,,0.93,,0.059369401568794035,0.059369401568794035
Kepler-142 d,Kepler-142,Transit,,,,,,0.09851524064556692,0.09851524064556692
Kepler-386 b,Kepler-386,Transit,12.3101351,0.0968,,0.797,0.0,0.08055869209922865,0.08055869209922865
Kepler-1490 b,Kepler-1490,Transit,92.4362973,0.3726,,0.806,0.0,0.10620141303014102,0.10620141303014102
